Date,Description,Amount
2024-01-02,Swiggy Food Order,450
2024-01-03,Uber Ride to Office,280
2024-01-04,Amazon Shopping,2400
2024-01-05,Netflix Subscription,649
2024-01-06,BigBasket Grocery,1850
2024-01-07,Starbucks Coffee,320
2024-01-08,Airtel Mobile Recharge,399
2024-01-10,Zomato Dinner,680
2024-01-11,Ola Cab,190
2024-01-12,Spotify Premium,119
2024-01-13,DMart Grocery,2100
2024-01-14,Doctor Consultation,500
2024-01-15,Udemy Course,999
2024-01-16,Restaurant Dinner,1200
2024-01-17,Metro Card Recharge,200
2024-01-18,Amazon Prime Annual,1499
2024-01-19,Electricity Bill,1800
2024-01-20,Uber Eats Lunch,350
2024-01-22,PhonePe Transfer,5000
2024-01-23,Gym Membership,2000
2024-01-24,BookMyShow Movie,380
2024-01-25,Reliance Fresh Vegetables,450
2024-01-26,MakeMyTrip Flight,8500
2024-01-28,Cafe Coffee Day,180
2024-01-29,Petrol Fill,1200
2024-01-30,Water Bill,350
2024-01-31,Flipkart Purchase,3200
2024-02-01,Swiggy Instamart,550
2024-02-02,Gas Bill,800
2024-02-03,Zomato Brunch,520
